asset_id,ticker,company_name,exchange,reason,phase
U00006,AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,candidate_matrix_not_ready,v2.38L-us-explained-shortlist
U00009,AAON,"AAON, Inc. - Common Stock",NASDAQ,candidate_matrix_not_ready,v2.38L-us-explained-shortlist
U00012,AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,candidate_matrix_not_ready,v2.38L-us-explained-shortlist
U00013,ABAT,American Battery Technology Company - Common Stock,NASDAQ,candidate_matrix_not_ready,v2.38L-us-explained-shortlist
U00018,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,candidate_matrix_not_ready,v2.38L-us-explained-shortlist
U00019,ABSI,Absci Corporation - Common Stock,NASDAQ,candidate_matrix_not_ready,v2.38L-us-explained-shortlist
U00023,ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,candidate_matrix_not_ready,v2.38L-us-explained-shortlist
U00027,ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,candidate_matrix_not_ready,v2.38L-us-explained-shortlist
U00029,ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,candidate_matrix_not_ready,v2.38L-us-explained-shortlist
U00034,ACHV,"Achieve Life Sciences, Inc. - Common Shares",NASDAQ,candidate_matrix_not_ready,v2.38L-us-explained-shortlist
U00045,ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,candidate_matrix_not_ready,v2.38L-us-explained-shortlist
U00048,ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,candidate_matrix_not_ready,v2.38L-us-explained-shortlist
U00049,ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,candidate_matrix_not_ready,v2.38L-us-explained-shortlist
U00051,ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,candidate_matrix_not_ready,v2.38L-us-explained-shortlist
U00055,ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,candidate_matrix_not_ready,v2.38L-us-explained-shortlist
