asset_id,ticker,macro_context_status,theme_count,macro_opportunity_score,macro_risk_score,macro_balance,quality_notes,phase
U00597,CGEN,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00489,BWFG,MACRO_CONTEXT_READY,5,48.2,66.2,-18.0,static_context_ready,v2.38M-macro-geopolitical-context
U00040,ACNB,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00126,ALAB,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00276,ATEX,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00503,CAC,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00025,ACAD,MACRO_CONTEXT_READY,5,50.4,65.8,-15.4,static_context_ready,v2.38M-macro-geopolitical-context
U00482,BUSE,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00522,CART,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00425,BMRN,MACRO_CONTEXT_READY,5,50.4,65.8,-15.4,static_context_ready,v2.38M-macro-geopolitical-context
U00592,CFFN,MACRO_CONTEXT_READY,5,48.2,66.2,-18.0,static_context_ready,v2.38M-macro-geopolitical-context
U00170,AMGN,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00390,BIIB,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00054,ADEA,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00011,AAPL,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00519,CARE,MACRO_CONTEXT_READY,5,48.2,66.2,-18.0,static_context_ready,v2.38M-macro-geopolitical-context
U00169,AMD,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00214,APPF,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00497,BZ,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00379,BGC,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00251,ARWR,MACRO_CONTEXT_READY,5,50.4,65.8,-15.4,static_context_ready,v2.38M-macro-geopolitical-context
U00591,CFFI,MACRO_CONTEXT_READY,5,48.2,66.2,-18.0,static_context_ready,v2.38M-macro-geopolitical-context
U00165,AMAT,MACRO_CONTEXT_READY,5,47.8,65.2,-17.4,static_context_ready,v2.38M-macro-geopolitical-context
U00599,CGNX,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00606,CHCI,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00312,AVPT,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00372,BELFB,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00086,AFRM,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00288,ATRC,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00629,CINF,MACRO_CONTEXT_READY,5,48.2,66.2,-18.0,static_context_ready,v2.38M-macro-geopolitical-context
U00139,ALKS,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00297,AUPH,MACRO_CONTEXT_READY,5,50.4,65.8,-15.4,static_context_ready,v2.38M-macro-geopolitical-context
U00065,ADUS,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00056,ADI,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00371,BELFA,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00504,CACC,MACRO_CONTEXT_READY,5,48.2,66.2,-18.0,static_context_ready,v2.38M-macro-geopolitical-context
U00037,ACIW,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00046,ACT,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00185,ANAB,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00015,ABEO,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00053,ADBE,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00047,ACTG,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00634,CIVB,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00520,CARG,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00017,ABNB,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00513,CAMT,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00119,AIRT,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00653,CLSK,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
U00191,ANIP,MACRO_CONTEXT_READY,5,50.4,65.8,-15.4,static_context_ready,v2.38M-macro-geopolitical-context
U00398,BJRI,MACRO_CONTEXT_PARTIAL,4,49.25,64.25,-15.0,general_context_only,v2.38M-macro-geopolitical-context
