asset_id,ticker,company_name,home_exchange,home_mic,home_country,home_currency,provider_route,provider,provider_symbol,collection_status,rows_collected,first_date,last_date,raw_cache_path,failure_reason,phase,scoring_calculated,ranking_calculated,recommendations_generated,phase9c_authorized
U37516,1F80,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,1F80.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37516.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37498,4BE,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,4BE.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37498.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37504,7PI,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,7PI.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37504.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37508,AEU,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,AEU.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37508.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37496,ASG,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,ASG.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37496.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37506,AXNA,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,AXNA.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37506.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37511,BPM,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,BPM.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37511.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37512,CRIN,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,CRIN.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37512.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37503,ENI,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,ENI.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37503.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37502,ENL,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,ENL.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37502.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37505,FMNB,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,FMNB.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37505.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37515,H68,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,H68.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37515.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37500,IES,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,IES.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37500.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37497,ME9,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,ME9.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37497.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37510,MOV,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,MOV.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37510.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37514,MPI0,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,MPI0.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37514.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37507,NP5,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,NP5.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37507.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37513,SPEA,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,SPEA.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37513.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37517,TQI0,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,TQI0.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37517.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37501,UCM,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,UCM.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37501.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37509,UIPN,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,UIPN.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37509.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
U37499,ZS3,ITA0,Borsa Italiana,MTAA,IT,EUR,eodhd_europe_prices,eodhd,ZS3.MI,READY_FOR_COLLECTION,0,,,outputs\full_universe_source_acquisition\v2_38o_europe_price_history_acquisition\europe_price_history_raw_v2_38o\U37499.csv,,v2.38O-europe-price-history-acquisition,false,false,false,false
