batch_id,fundamental_route_status,home_mic,assets,network_allowed,phase9c_authorized
EUFUND38Q-001,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,XWBO,20,false,false
EUFUND38Q-002,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,XBRU,6,false,false
EUFUND38Q-003,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,XSWX,29,false,false
EUFUND38Q-004,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,XETR,413,false,false
EUFUND38Q-005,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,XCSE,21,false,false
EUFUND38Q-006,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,XMAD,15,false,false
EUFUND38Q-007,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,XHEL,5,false,false
EUFUND38Q-008,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,XPAR,53,false,false
EUFUND38Q-009,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,XLON,40,false,false
EUFUND38Q-010,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,XDUB,17,false,false
EUFUND38Q-011,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,MTAA,22,false,false
EUFUND38Q-012,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,XAMS,44,false,false
EUFUND38Q-013,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,XSTO,4,false,false
