home_country,home_mic,fundamental_route_status,assets
AT,XWBO,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,20
BE,XBRU,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,6
CH,XSWX,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,29
DE,XETR,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,413
DK,XCSE,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,21
ES,XMAD,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,15
FI,XHEL,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,5
FR,XPAR,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,53
GB,XLON,FUNDAMENTALS_ROUTE_READY_FOR_OFFICIAL_FILINGS_REVIEW,40
IE,XDUB,FUNDAMENTALS_ROUTE_MANUAL_REVIEW_REQUIRED,17
IT,MTAA,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,22
NL,XAMS,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,44
SE,XSTO,FUNDAMENTALS_ROUTE_READY_FOR_PROVIDER_PILOT,4
