batch_id,batch_index,batch_size,asset_count,asset_ids,countries_covered,exchanges_covered,provider_candidate,ready_for_provider_execution,blocked_reason,network_allowed,real_fundamentals_downloaded,normalized_fundamentals_created,scoring_created,ranking_created,recommendations_created,phase9c_authorized
EU_PROVIDER_PILOT_001,1,50,50,U36865;U36866;U36867;U36868;U36869;U36870;U36871;U36872;U36873;U36874;U36875;U36876;U36877;U36878;U36879;U36880;U36881;U36882;U36883;U36884;U36886;U36887;U36888;U36889;U36890;U36891;U36902;U36903;U36904;U36905;U36906;U36907;U36908;U36909;U36910;U36911;U36912;U36913;U36914;U36915;U36916;U36917;U36918;U36919;U36920;U36921;U36922;U36923;U36924;U36925,AT;BE;CH,Euronext Brussels;SIX Swiss Exchange;Vienna Stock Exchange,eodhd_fundamentals,true,,false,false,false,false,false,false,false
EU_PROVIDER_PILOT_002,2,50,50,U36926;U36927;U36928;U36929;U36930;U36932;U36933;U36934;U36935;U36936;U36937;U36938;U36939;U36940;U36941;U36942;U36943;U36944;U36945;U36946;U36947;U36948;U36949;U36950;U36951;U36952;U36953;U36954;U36955;U36956;U36957;U36958;U36959;U36960;U36961;U36962;U36963;U36964;U36965;U36966;U36967;U36968;U36969;U36970;U36971;U36972;U36973;U36974;U36975;U36976,CH;DE,SIX Swiss Exchange;XETRA,eodhd_fundamentals,true,,false,false,false,false,false,false,false
EU_PROVIDER_PILOT_003,3,50,50,U36977;U36978;U36979;U36980;U36981;U36982;U36983;U36984;U36985;U36986;U36987;U36988;U36989;U36990;U36991;U36992;U36993;U36994;U36995;U36996;U36997;U36998;U36999;U37000;U37001;U37002;U37003;U37004;U37005;U37006;U37007;U37008;U37009;U37010;U37011;U37012;U37013;U37014;U37015;U37016;U37017;U37018;U37019;U37020;U37021;U37022;U37023;U37024;U37025;U37026,DE,XETRA,eodhd_fundamentals,true,,false,false,false,false,false,false,false
EU_PROVIDER_PILOT_004,4,50,50,U37027;U37028;U37029;U37030;U37031;U37032;U37033;U37034;U37035;U37036;U37037;U37038;U37039;U37040;U37041;U37042;U37043;U37044;U37045;U37046;U37047;U37048;U37049;U37050;U37051;U37052;U37053;U37054;U37055;U37056;U37057;U37058;U37059;U37060;U37061;U37062;U37063;U37064;U37065;U37066;U37067;U37068;U37069;U37070;U37071;U37072;U37073;U37074;U37075;U37076,DE,XETRA,eodhd_fundamentals,true,,false,false,false,false,false,false,false
EU_PROVIDER_PILOT_005,5,50,50,U37077;U37078;U37079;U37080;U37081;U37082;U37083;U37084;U37085;U37086;U37087;U37088;U37089;U37090;U37091;U37092;U37093;U37094;U37095;U37096;U37097;U37098;U37099;U37100;U37101;U37102;U37103;U37104;U37105;U37106;U37107;U37108;U37109;U37110;U37111;U37112;U37113;U37114;U37115;U37116;U37117;U37118;U37119;U37120;U37121;U37122;U37123;U37124;U37125;U37126,DE,XETRA,eodhd_fundamentals,true,,false,false,false,false,false,false,false
EU_PROVIDER_PILOT_006,6,50,50,U37127;U37128;U37129;U37130;U37131;U37132;U37133;U37134;U37135;U37136;U37137;U37138;U37139;U37140;U37141;U37142;U37143;U37144;U37145;U37146;U37147;U37148;U37149;U37150;U37151;U37152;U37153;U37154;U37155;U37156;U37157;U37158;U37159;U37160;U37161;U37162;U37163;U37164;U37165;U37166;U37167;U37168;U37169;U37170;U37171;U37172;U37173;U37174;U37175;U37176,DE,XETRA,eodhd_fundamentals,true,,false,false,false,false,false,false,false
EU_PROVIDER_PILOT_007,7,50,50,U37177;U37178;U37179;U37180;U37181;U37182;U37183;U37184;U37185;U37186;U37187;U37188;U37189;U37190;U37191;U37192;U37193;U37194;U37195;U37196;U37197;U37198;U37199;U37200;U37201;U37202;U37203;U37204;U37205;U37206;U37207;U37208;U37209;U37210;U37211;U37212;U37213;U37214;U37215;U37216;U37217;U37218;U37219;U37220;U37221;U37222;U37223;U37224;U37225;U37226,DE,XETRA,eodhd_fundamentals,true,,false,false,false,false,false,false,false
EU_PROVIDER_PILOT_008,8,50,50,U37227;U37228;U37229;U37230;U37231;U37232;U37233;U37234;U37235;U37236;U37237;U37238;U37239;U37240;U37241;U37242;U37243;U37244;U37245;U37246;U37247;U37248;U37249;U37250;U37251;U37252;U37253;U37254;U37255;U37256;U37257;U37258;U37259;U37260;U37261;U37262;U37263;U37264;U37265;U37266;U37267;U37268;U37269;U37270;U37271;U37272;U37273;U37274;U37275;U37276,DE,XETRA,eodhd_fundamentals,true,,false,false,false,false,false,false,false
EU_PROVIDER_PILOT_009,9,50,50,U37277;U37278;U37279;U37280;U37281;U37282;U37283;U37284;U37285;U37286;U37287;U37288;U37289;U37290;U37291;U37292;U37293;U37294;U37295;U37296;U37297;U37298;U37299;U37300;U37301;U37302;U37303;U37304;U37305;U37306;U37307;U37308;U37309;U37310;U37311;U37312;U37313;U37314;U37315;U37316;U37317;U37318;U37319;U37320;U37321;U37322;U37323;U37324;U37325;U37326,DE,XETRA,eodhd_fundamentals,true,,false,false,false,false,false,false,false
EU_PROVIDER_PILOT_010,10,50,50,U37327;U37328;U37329;U37330;U37331;U37332;U37333;U37334;U37335;U37336;U37337;U37338;U37339;U37340;U37341;U37342;U37343;U37344;U37345;U37346;U37347;U37348;U37349;U37350;U37351;U37352;U37353;U37354;U37355;U37356;U37357;U37358;U37359;U37360;U37361;U37362;U37363;U37364;U37365;U37381;U37382;U37383;U37384;U37385;U37386;U37387;U37388;U37389;U37390;U37391,DE;DK;FI;FR,Euronext Paris;Nasdaq Copenhagen;Nasdaq Helsinki;XETRA,eodhd_fundamentals,true,,false,false,false,false,false,false,false
