asset_id,ticker,company_name,country,mic,expected_identifier,identifier_present,identifier_value,identifier_confidence,resolution_status,required_next_action,can_execute_official_collection_now,blocker_reason
U37366,A441,ESP0,ES,XMAD,ISIN,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37367,472,ESP0,ES,XMAD,ISIN,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37368,AI3A,ESP0,ES,XMAD,ISIN,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37369,BOY,ESP0,ES,XMAD,ISIN,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37370,BDSB,ESP0,ES,XMAD,ISIN,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37371,BSD2,ESP0,ES,XMAD,ISIN,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37372,IDA,ESP0,ES,XMAD,ISIN,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37373,ENA,ESP0,ES,XMAD,ISIN,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37374,48CA,ESP0,ES,XMAD,ISIN,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37375,IBE1,ESP0,ES,XMAD,ISIN,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37376,IXD1,ESP0,ES,XMAD,ISIN,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37377,RE21,ESP0,ES,XMAD,ISIN,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37378,REP,ESP0,ES,XMAD,ISIN,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37379,INR,ESP0,ES,XMAD,ISIN,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37380,TNE5,ESP0,ES,XMAD,ISIN,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37439,GUI,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37440,BSP,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37441,BMT,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37442,ITB,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37443,LGI,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37444,PES,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37445,RIO1,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37446,SCT,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37447,BPE5,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37448,LLD,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37449,NPW1,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37450,BCY,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37451,KFI1,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37452,IJ8,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37453,RTO1,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37454,LS4C,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
U37455,RDEB,UKI0,GB,XLON,COMPANY_REGISTRY_ID,false,,NONE,IDENTIFIER_RESOLUTION_REQUIRED,resolve_official_identifier_from_authoritative_source,false,official_identifier_missing_in_current_inputs
