asset_id,ticker,company_name_source_value,resolved_company_name,resolved_company_name_raw,resolution_status,resolution_reason,isin,home_mic,home_country,source_row_hash,credentials_used,phase,created_at_utc
U37439,GUI,UKI0,DIAGEO PLC,"DIAGEO PLC LS-,28935185",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB0002374006,XLON,GB,5922a3f75dfaddbbec7f9b202461936fec387ebc62b96f4b544b9aae52c7ce54,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37440,BSP,UKI0,BAE SYSTEMS PLC,"BAE SYSTEMS PLC   LS-,025",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB0002634946,XLON,GB,e5df59e83b2c10bd545bb7a02eedd68508b2441f662a84a6906a288c18d1f009,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37441,BMT,UKI0,BRIT.AMER.TOBACCO,"BRIT.AMER.TOBACCO  LS-,25",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB0002875804,XLON,GB,393df0076f0de999341819079fafe0fccae1833caeb6f06b4e86a3109e482001,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37442,ITB,UKI0,IMPERIAL BRANDS PLC,IMPERIAL BRANDS PLC LS-10,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB0004544929,XLON,GB,782e68d09c469424ed38ee733c5f4eeadf16077be85addc7d8b234ab6da4f045,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37443,LGI,UKI0,LEGAL GENL GRP PLC,"LEGAL GENL GRP PLCLS-,025",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB0005603997,XLON,GB,c7cdc931b0dcdb393f67257b537a9f9541bd6153b99d0761364f85ced3cf7563,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37444,PES,UKI0,PEARSON PLC,"PEARSON PLC        LS-,25",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB0006776081,XLON,GB,38ccabb0f4eed34a4799d7d884f31f47c854b22cae1c0c5ff100a64e2af4a579,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37445,RIO1,UKI0,RIO TINTO PLC,"RIO TINTO PLC      LS-,10",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB0007188757,XLON,GB,627d73d1ad159b0049caf5eef79aefff9d2c3c49db991901636719172d0ee704,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37446,SCT,UKI0,SSE PLC,"SSE PLC    LS-,50",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB0007908733,XLON,GB,fd312c753f0caa778d8431883dcdac4be6e285ef474975afe6319947d2288bb9,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37447,BPE5,UKI0,BP PLC,"BP PLC             DL-,25",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB0007980591,XLON,GB,d0beda909aed8d62920c2fceacdf4c8fb5bd03f98a0ae452cfb22b3e6fc7f04e,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37448,LLD,UKI0,LLOYDS BKG GRP,"LLOYDS BKG GRP     LS-,10",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB0008706128,XLON,GB,b8981bbd7eec6a7b3ccdbc0bb7290b39722df5149c697c591979e8bdd5ea7a76,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37449,NPW1,UKI0,"SMITH + NEP.   DL -,20","SMITH + NEP.   DL -,20",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB0009223206,XLON,GB,bc91a3a49e438665072c680982f3c3d9d9323ee6049bead223be20513174d5da,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37450,BCY,UKI0,"BARCLAYS PLC      LS 0,25","BARCLAYS PLC      LS 0,25",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB0031348658,XLON,GB,1f8027b6f59a2bd4804f333623dfb64042ca2f2bbf0d122a63e9b425451c56b8,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37451,KFI1,UKI0,KINGFISHER,"KINGFISHER  LS-,157142857",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB0033195214,XLON,GB,a477c9e0ff8cd3a709ef7bf68cad66f99ae07d93bad4d08445fe770193e9bde6,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37452,IJ8,UKI0,ITM POWER PLC,"ITM POWER PLC      LS-,05",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00B0130H42,XLON,GB,a7e5ed6ef0c06fd1fcce354801070937992bb0b805902eca97c7c88207438492,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37453,RTO1,UKI0,"RENTOKIL INITIAL  LS 0,01","RENTOKIL INITIAL  LS 0,01",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00B082RF11,XLON,GB,88c26702d6907daef5c0105bffa6cb68069ee96c888b6dfa70ff42d20a43d80e,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37454,LS4C,UKI0,LONDON STOCK EXCHANGE,LONDON STOCK EXCHANGE,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00B0SWJX34,XLON,GB,a70cdb8491cf6b72f2f98a3406631aac1dfa81a62e862ac97eb55355a5c8cf6f,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37455,RDEB,UKI0,"RELX PLC      LS -,144397","RELX PLC      LS -,144397",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00B2B0DG97,XLON,GB,30ff5ca3a2e5f9169ba7baf33d9babf1f05f8c9c92df2f0ea0e36c9e51ea2964,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37456,RRU,UKI0,ROLLS ROYCE HLDGS LS 0.20,ROLLS ROYCE HLDGS LS 0.20,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00B63H8491,XLON,GB,651baa553dea7dbfdd22b2d3fe868551b71d3b94f4ba5e78a4910ce5f4942a2d,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37457,EJT1,UKI0,EASYJET PLC,"EASYJET PLC  LS-,27285714",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00B7KR2P84,XLON,GB,c9e228dbc2e6ff76b41182d2046030d1988d754333e8df2682bfc38f0ada0392,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37458,XGR2,UKI0,COMPASS GROUP,"COMPASS GROUP    LS-,1105",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BD6K4575,XLON,GB,eeda805f48777a4bfe8940ee0beda6ab122d2ffde232a791579321a457d55874,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37459,NNGF,UKI0,NATIONAL GRID PLC,NATIONAL GRID PLC,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BDR05C01,XLON,GB,8faaebde6c81792265300e82c35fab33acaf11219dc0af07c99fad68c319d296,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37460,1T1,UKI0,TECHNIPFMC PLC DL 1,TECHNIPFMC PLC DL 1,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BDSFG982,XLON,GB,dae83773b92c3c2c3210b08d058cb8a3fcb4d40563d9b0c5a7cb188f994b57d8,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37461,S94,UKI0,SENSATA TECHN.HLDG,"SENSATA TECHN.HLDG LS-,01",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BFMBMT84,XLON,GB,7333a1a76961552025d139d494ef5a7e470f950551698f150163cc8a50aabc35,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37462,VODI,UKI0,VODAFONE GROUP PLC,VODAFONE GROUP PLC,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BH4HKS39,XLON,GB,16ffb0dae7db921af1c669d373f4f4f94e6d3d6ec4745933516afecad82d7368,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37463,IC1H,UKI0,INTERCONT.H.,"INTERCONT.H.LS-,208521303",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BHJYC057,XLON,GB,59dd97c3e3a2e72e6d2bb6aa63239389fbed6b86c2973625ea36568b8e391b19,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
U37464,TCO0,UKI0,TESCO PLC,"TESCO PLC     LS-,0633333",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,GB00BLGZ9862,XLON,GB,e4dd8e1b6390ee5952f50f2aec9ae791992b8219a410f25a4347289a8e26a189,false,v2.38V-europe-gb-identity-resolution-xetra-source-correction,2026-09-05T19:21:43Z
