asset_id,ticker,company_name,company_number,source_priority,candidate_matrix_status,fundamental_quality_status,price_quality_status,evidence_level,missing_reason,net_margin,operating_margin,return_on_assets,return_on_equity,liabilities_to_assets,cash_to_assets,current_ratio,profitability_positive_flag,balance_strength_flag,return_1m,return_3m,return_6m,return_12m,volatility_3m,volatility_6m,max_drawdown_6m,max_drawdown_12m,price_vs_sma_50,price_vs_sma_200,trend_positive_flag,near_52w_high_flag,liquidity_available_flag,fundamental_signal_summary,price_signal_summary,evidence_notes,scoring_calculated,ranking_calculated,recommendation_generated,phase
U36865,XD4,STRABAG SE,88983h,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,4.587604,0.141647,0.120604,0.139995,0.138513,0.00017,,True,True,,,,,,,,,,,,,,net margin positive; balance sheet strength flag true,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36866,RAW,Raiffeisen Bank International AG,122119m,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,INSUFFICIENT_FEATURE_EVIDENCE,MISSING,medium,price_features_missing_or_partial,,,,,,,,False,False,,,,,,,,,,,,,,Fundamental fields present but limited.,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36867,ABS2,PORR AG,34853f,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,0.191222,0.04484,0.022874,0.068864,0.66784,0.085881,,True,True,,,,,,,,,,,,,,net margin positive; balance sheet strength flag true,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36868,EBO,ERSTE GROUP BANK AG,33209m,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,,,0.028057,,,0.101803,,False,False,,,,,,,,,,,,,,Fundamental fields present but limited.,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36869,AZ2,Andritz AG,50935f,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,0.195485,0.073699,0.072738,0.227247,0.67991,0.017473,,True,True,,,,,,,,,,,,,,net margin positive; balance sheet strength flag true,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36870,OMV,OMV AKTIENGESELLSCHAFT,93363z,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,5.607478,-0.208629,0.086172,0.245925,0.649602,0.158525,,True,True,,,,,,,,,,,,,,net margin positive; balance sheet strength flag true,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36871,OEWA,VERBUND AG,76023z,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,5.5867,0.441718,0.25813,0.3273,0.211281,,,True,True,,,,,,,,,,,,,,net margin positive; balance sheet strength flag true,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36872,FAA,Fabasoft AG,98699x,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,INSUFFICIENT_FEATURE_EVIDENCE,MISSING,medium,price_features_missing_or_partial,,,,,,,,False,False,,,,,,,,,,,,,,Fundamental fields present but limited.,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36873,UN9,UNIQA Insurance Group AG,92933t,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,,,0.045646,0.090418,0.480821,0.003373,,False,True,,,,,,,,,,,,,,balance sheet strength flag true,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
U36874,WIB,Wienerberger AG,77676f,fundamental_only,CANDIDATE_MATRIX_PARTIAL_PRICE,FEATURES_PARTIAL,MISSING,medium,price_features_missing_or_partial,0.445071,0.290092,0.027477,0.047637,0.423181,0.019333,,True,True,,,,,,,,,,,,,,net margin positive; balance sheet strength flag true,No local Europe price feature row available -- v2.38P/O have not collected real price history yet.,Prepared for future scoring; no recommendation language or ranking emitted.,False,False,False,v2.38X-europe-candidate-feature-matrix
