asset_id,ticker,company_name,company_number,features_calculated,features_missing,feature_quality_status,quality_flags
U36865,XD4,STRABAG SE,88983h,8,current_ratio,FEATURES_PARTIAL,balance_strength_flag|net_margin_positive
U36866,RAW,Raiffeisen Bank International AG,122119m,0,cash_to_assets|current_ratio|equity_to_assets|liabilities_to_assets|net_margin|operating_margin|pretax_margin|return_on_assets|return_on_equity,INSUFFICIENT_FEATURE_EVIDENCE,
U36867,ABS2,PORR AG,34853f,8,current_ratio,FEATURES_PARTIAL,balance_strength_flag|net_margin_positive
U36868,EBO,ERSTE GROUP BANK AG,33209m,2,current_ratio|equity_to_assets|liabilities_to_assets|net_margin|operating_margin|pretax_margin|return_on_equity,FEATURES_PARTIAL,
U36869,AZ2,Andritz AG,50935f,8,current_ratio,FEATURES_PARTIAL,balance_strength_flag|net_margin_positive
U36870,OMV,OMV AKTIENGESELLSCHAFT,93363z,8,current_ratio,FEATURES_PARTIAL,balance_strength_flag|net_margin_positive
U36871,OEWA,VERBUND AG,76023z,7,cash_to_assets|current_ratio,FEATURES_PARTIAL,balance_strength_flag|net_margin_positive
U36872,FAA,Fabasoft AG,98699x,0,cash_to_assets|current_ratio|equity_to_assets|liabilities_to_assets|net_margin|operating_margin|pretax_margin|return_on_assets|return_on_equity,INSUFFICIENT_FEATURE_EVIDENCE,
U36873,UN9,UNIQA Insurance Group AG,92933t,5,current_ratio|net_margin|operating_margin|pretax_margin,FEATURES_PARTIAL,balance_strength_flag
U36874,WIB,Wienerberger AG,77676f,8,current_ratio,FEATURES_PARTIAL,balance_strength_flag|net_margin_positive
U36875,VAS,voestalpine AG,66209t,5,current_ratio|net_margin|return_on_assets|return_on_equity,FEATURES_PARTIAL,balance_strength_flag
U36876,SLL,SBO AG,102999w,8,current_ratio,FEATURES_PARTIAL,balance_strength_flag|net_margin_positive
U36877,KTN,Kontron AG,190272m,8,current_ratio,FEATURES_PARTIAL,balance_strength_flag|net_margin_positive
U36878,WAH,Wolftank Group AG,306731a,8,current_ratio,FEATURES_PARTIAL,balance_strength_flag
U36879,GEPH,EPH Group AG,603735x,4,cash_to_assets|current_ratio|net_margin|return_on_assets|return_on_equity,FEATURES_PARTIAL,
U36880,4X0,Steyr Motors AG,583243k,8,current_ratio,FEATURES_PARTIAL,balance_strength_flag|net_margin_positive
U36881,O3P,Österreichische Post Aktiengesellschaft,180219d,8,current_ratio,FEATURES_PARTIAL,balance_strength_flag|net_margin_positive
U36882,0B2,BAWAG Group AG,269842b,0,cash_to_assets|current_ratio|equity_to_assets|liabilities_to_assets|net_margin|operating_margin|pretax_margin|return_on_assets|return_on_equity,INSUFFICIENT_FEATURE_EVIDENCE,
U36883,1AST,ASTA Energy Solutions AG,271337a,8,current_ratio,FEATURES_PARTIAL,balance_strength_flag|net_margin_positive
U36884,FQT,FREQUENTIS AG,72115b,8,current_ratio,FEATURES_PARTIAL,balance_strength_flag|net_margin_positive
U37451,KFI1,KINGFISHER,01664812,9,,FEATURES_READY,balance_strength_flag|net_margin_positive
