asset_id,ticker,company_name,company_number,feature_period_end,feature_quality_status,features_calculated,features_missing,quality_flags,net_margin,operating_margin,pretax_margin,return_on_assets,return_on_equity,liabilities_to_assets,equity_to_assets,cash_to_assets,current_ratio,profitability_positive_flag,balance_strength_flag,phase
U36865,XD4,STRABAG SE,88983h,2025-12-31,FEATURES_PARTIAL,8,current_ratio,balance_strength_flag|net_margin_positive,4.587604,0.141647,4.6083,0.120604,0.139995,0.138513,0.861487,0.00017,,True,True,v2.38X-europe-fundamental-features
U36866,RAW,Raiffeisen Bank International AG,122119m,2024-12-31,INSUFFICIENT_FEATURE_EVIDENCE,0,cash_to_assets|current_ratio|equity_to_assets|liabilities_to_assets|net_margin|operating_margin|pretax_margin|return_on_assets|return_on_equity,,,,,,,,,,,False,False,v2.38X-europe-fundamental-features
U36867,ABS2,PORR AG,34853f,2025-12-31,FEATURES_PARTIAL,8,current_ratio,balance_strength_flag|net_margin_positive,0.191222,0.04484,0.230547,0.022874,0.068864,0.66784,0.33216,0.085881,,True,True,v2.38X-europe-fundamental-features
U36868,EBO,ERSTE GROUP BANK AG,33209m,2025-12-31,FEATURES_PARTIAL,2,current_ratio|equity_to_assets|liabilities_to_assets|net_margin|operating_margin|pretax_margin|return_on_equity,,,,,0.028057,,,,0.101803,,False,False,v2.38X-europe-fundamental-features
U36869,AZ2,Andritz AG,50935f,2024-12-31,FEATURES_PARTIAL,8,current_ratio,balance_strength_flag|net_margin_positive,0.195485,0.073699,0.210757,0.072738,0.227247,0.67991,0.320085,0.017473,,True,True,v2.38X-europe-fundamental-features
U36870,OMV,OMV AKTIENGESELLSCHAFT,93363z,2024-12-31,FEATURES_PARTIAL,8,current_ratio,balance_strength_flag|net_margin_positive,5.607478,-0.208629,5.382867,0.086172,0.245925,0.649602,0.350398,0.158525,,True,True,v2.38X-europe-fundamental-features
U36871,OEWA,VERBUND AG,76023z,2025-12-31,FEATURES_PARTIAL,7,cash_to_assets|current_ratio,balance_strength_flag|net_margin_positive,5.5867,0.441718,5.725566,0.25813,0.3273,0.211281,0.788666,,,True,True,v2.38X-europe-fundamental-features
U36872,FAA,Fabasoft AG,98699x,2025-03-31,INSUFFICIENT_FEATURE_EVIDENCE,0,cash_to_assets|current_ratio|equity_to_assets|liabilities_to_assets|net_margin|operating_margin|pretax_margin|return_on_assets|return_on_equity,,,,,,,,,,,False,False,v2.38X-europe-fundamental-features
U36873,UN9,UNIQA Insurance Group AG,92933t,2025-12-31,FEATURES_PARTIAL,5,current_ratio|net_margin|operating_margin|pretax_margin,balance_strength_flag,,,,0.045646,0.090418,0.480821,0.504831,0.003373,,False,True,v2.38X-europe-fundamental-features
U36874,WIB,Wienerberger AG,77676f,2025-12-31,FEATURES_PARTIAL,8,current_ratio,balance_strength_flag|net_margin_positive,0.445071,0.290092,0.389512,0.027477,0.047637,0.423181,0.576805,0.019333,,True,True,v2.38X-europe-fundamental-features
U36875,VAS,voestalpine AG,66209t,2024-03-31,FEATURES_PARTIAL,5,current_ratio|net_margin|return_on_assets|return_on_equity,balance_strength_flag,,0.030825,-0.46175,,,0.348654,0.651346,0.105011,,False,True,v2.38X-europe-fundamental-features
U36876,SLL,SBO AG,102999w,2023-12-31,FEATURES_PARTIAL,8,current_ratio,balance_strength_flag|net_margin_positive,4.806019,-0.674538,5.270816,0.104153,0.304757,0.658243,0.341757,0.053099,,True,True,v2.38X-europe-fundamental-features
U36877,KTN,Kontron AG,190272m,2023-12-31,FEATURES_PARTIAL,8,current_ratio,balance_strength_flag|net_margin_positive,0.113846,0.034196,0.075784,0.012615,0.017565,0.279382,0.718167,0.214227,,True,True,v2.38X-europe-fundamental-features
U36878,WAH,Wolftank Group AG,306731a,2025-12-31,FEATURES_PARTIAL,8,current_ratio,balance_strength_flag,-1.646265,-2.282094,-1.682547,-0.043659,-0.057381,0.239112,0.760872,0.005412,,False,True,v2.38X-europe-fundamental-features
U36879,GEPH,EPH Group AG,603735x,2024-12-31,FEATURES_PARTIAL,4,cash_to_assets|current_ratio|net_margin|return_on_assets|return_on_equity,,,-13.152341,-36.605099,,,1.246383,-0.246383,,,False,False,v2.38X-europe-fundamental-features
