asset_id,ticker,company_name_source_value,resolved_company_name,resolved_company_name_raw,resolution_status,resolution_reason,isin,home_mic,home_country,source_row_hash,credentials_used,phase,created_at_utc
U37479,N4U,UKI0,SMURFIT WESTROCK,"SMURFIT WESTROCK   DL-,01",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE00028FXN24,XDUB,IE,2fdcb338fbe72c479b836a846c7e09c8d531ee797451192423feb783d38270e4,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
U37480,IJF,UKI0,ICON PLC,"ICON PLC           EO-,06",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE0005711209,XDUB,IE,561666500fc4921b71d4d2acdecc354577af27febfa9fca9fe95a38d8af4b779,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
U37481,BZ4,UKI0,TE CONNECTIVITY,"TE CONNECTIVITY   DL-,01",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE000IVNQZ81,XDUB,IE,012b22114057290f31387429fba4b37d718006e493329805f2e6555bf7e57386,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
U37482,JHA1,UKI0,JAMES HARDIE IND.,"JAMES HARDIE IND. EO-,59",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE000R94NGM2,XDUB,IE,7bee8136fa521b44ae9abaae90059a4e3c5c4a53aaa884e9a6fc2d0ef1153dc3,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
U37483,LIN,UKI0,LINDE PLC,"LINDE PLC        EO -,001",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE000S9YS762,XDUB,IE,21ed2c25a69526a031a647a61272b13f1343f3a0bda1f4acad77f38b1505c22d,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
U37484,CSA,UKI0,ACCENTURE A,"ACCENTURE A   DL-,0000225",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE00B4BNMY34,XDUB,IE,161ee5e72440fa6abd908c67b6fae7d403229983469a624be2753967475ea787,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
U37485,J7Z,UKI0,JAZZ PHARMACEUT.,"JAZZ PHARMACEUT. DL-,0001",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE00B4Q5ZN47,XDUB,IE,d1cc8b6618018f6884f65a7cd6638f26a91670b9012b008b8bba75a68f8db1b6,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
U37486,8AK,UKI0,ALKERMES PLC,"ALKERMES PLC       DL-,01",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE00B56GVS15,XDUB,IE,16a66d4e66afbc8a4a3bc944560d89209022d108510025626ae5fd04d6a46bad,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
U37487,3EC,UKI0,EATON CORP.PLC,"EATON CORP.PLC    DL -,01",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE00B8KQN827,XDUB,IE,a01064b3f53758ac1bc8386de4eb17bff1a22334bd756cdc51c1d6883541ad47,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
U37488,WTY,UKI0,WILLIS TOWERS WATSON,WILLIS TOWERS WATSON,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE00BDB6Q211,XDUB,IE,5e23c36eccc8c1af0f6c0068d43282d8041af71d0e685f928f6564f7ca705b43,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
U37489,60A,UKI0,ALLEGION PLC,ALLEGION PLC         DL 1,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE00BFRT3W74,XDUB,IE,bbab7d9ea542596f6ecf729dcc1faa0617b9b81ee7f3d3c80b4ca538f7cfbf6f,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
U37490,2IS,UKI0,TRANE TECHNOLOG. PLC,TRANE TECHNOLOG. PLC DL 1,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE00BK9ZQ967,XDUB,IE,8da9292461bb40e5418ef38d187775f0f86ea11b900bc474f975e1eeefb1556e,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
U37491,847,UKI0,SEAGATE TEC.HLD.,"SEAGATE TEC.HLD.DL-,00001",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE00BKVD2N49,XDUB,IE,a6cc64f2a3291986064922735de6b4e77e77d8b77ed919cfc23bdb129ee87f2b,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
U37492,4VK,UKI0,AON PLC A,"AON PLC A         DL -,01",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE00BLP1HW54,XDUB,IE,9cbad3a189d5af8aee95ba0fec196ee6432b7c8c09082e0dd14f4a0694a24479,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
U37493,2M6,UKI0,MEDTRONIC PLC,"MEDTRONIC PLC    DL-,0001",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE00BTN1Y115,XDUB,IE,4f4395641c0847216375d7112867852eab5a99cd6c6ff77e4ae392388eb0f32c,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
U37494,TYIA,UKI0,JOHNSON CONTR.INTL.,"JOHNSON CONTR.INTL.DL-,01",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE00BY7QL619,XDUB,IE,f8be7ca639f963c7d7dbae37e4f68261c8ec5d82969ab1a4d0f0c21eb03b19c5,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
U37495,RY4C,UKI0,RYANAIR HLDGS PLC,"RYANAIR HLDGS PLC EO-,006",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,IE00BYTBXV33,XDUB,IE,9837a8c470568f007ab02eefe4a88b1ee5191b9d0240e92bf70194c6a2a4b328,false,v2.38Z-europe-ireland-identity-resolution-xetra-source,2026-09-05T21:21:34Z
