check_id,category,severity,status,path,evidence,remediation
EXT-.docx,sensitive_extensions,WARN,WARN,Auditoria_Scout_Finance.docx,tracked extension .docx,Review whether this file belongs in public Git.
EMAIL,public_documentation_claims,WARN,WARN,CHANGELOG.md,cvrselvbetjening@erst.dk,Review and redact if this is real sensitive information.
EMAIL,public_documentation_claims,WARN,WARN,CHANGELOG.md,zefix@bj.admin.ch,Review and redact if this is real sensitive information.
EMAIL,public_documentation_claims,WARN,WARN,VERSION.md,zefix@bj.admin.ch,Review and redact if this is real sensitive information.
GENERIC-PASSWORD,passwords,WARN,WARN,app.py,password = st.text_input(,Review and redact if this is real sensitive information.
GENERIC-PASSWORD,passwords,WARN,WARN,app_v0_5_stable.py,password = st.text_input(,Review and redact if this is real sensitive information.
GENERIC-PASSWORD,passwords,WARN,WARN,app_v0_6_stable.py,password = st.text_input(,Review and redact if this is real sensitive information.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/asx_candidate_extraction_dry_run_rows_v2_20e.csv,5278877 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/cboe_europe_normalized_candidates_v2_11e.csv,20628746 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_candidate_asx_v2_20g.csv,9389852 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_candidate_hkex_v2_19p.csv,8627341 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_candidate_nse_india_v2_17g.csv,8192878 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_candidate_tmx_v2_16g.csv,7916109 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_candidate_twse_tpex_v2_18g.csv,8541783 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_exclusions_v2_11e.csv,15714442 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_v2_11e.csv,5356957 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_v2_12e.csv,6476310 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_v2_13e.csv,7257817 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_v2_14e.csv,7915990 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_v2_20m_asx_promoted.csv,9389852 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_v2_21d_c_colombia_candidate.csv,9515644 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_v2_21d_s_singapore_candidate.csv,9511466 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_v2_21e_c_colombia_promoted.csv,9515644 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_v2_21e_s_singapore_promoted.csv,9511466 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_v2_21g_final_reference.csv,9515644 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_v2_21h_activated_operational_reference.csv,9515644 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/expanded_universe_v2_24f_metadata_promoted.csv,10089148 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/hkex_candidate_extraction_dry_run_candidates_v2_19n.csv,8073954 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/hkex_candidate_validation_against_canonical_dry_run_exclusions_v2_19o.csv,10001010 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/hkex_candidate_validation_against_canonical_dry_run_validated_candidates_v2_19o.csv,10224843 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/metadata_improvement_dry_run_overlay_v2_24e.csv,6845770 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/nse_india_candidate_extraction_candidates_v2_17e.csv,9431170 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/nse_india_candidate_extraction_exclusions_v2_17e.csv,26389523 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/nse_india_candidate_validation_classified_candidates_v2_17f.csv,11202955 bytes,Confirm the file is intentionally tracked.
SIZE-001,oversized_files,WARN,WARN,outputs/full_universe_source_acquisition/production_scoring_dry_run_v2_scores_v2_25b.csv,10004942 bytes,Confirm the file is intentionally tracked.
