asset_id,ticker,company_name,country,decision
U00035,ACIC,American Coastal Insurance Corporation - Common Stock,USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00292,AUBN,"Auburn National Bancorporation, Inc. - Common Stock",USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00351,BCAL,California BanCorp - Common Stock,USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00354,BCBP,"BCB Bancorp, Inc. (NJ) - Common Stock",USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00375,BFC,Bank First Corporation - Common Stock,USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00378,BFST,"Business First Bancshares, Inc. - Common Stock",USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00424,BMRC,Bank of Marin Bancorp - Common Stock,USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00443,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00447,BPRN,"Princeton Bancorp, Inc. - Common Stock",USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00467,BSRR,Sierra Bancorp - Common Stock,USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00487,BWB,"Bridgewater Bancshares, Inc. - Common Stock",USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00489,BWFG,"Bankwell Financial Group, Inc. - Common Stock",USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00490,BWIN,"The Baldwin Insurance Group, Inc. - Class A Common Stock",USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00527,CATY,Cathay General Bancorp - Common Stock,USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00534,CBNK,"Capital Bancorp, Inc. - Common Stock",USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00537,CBSH,"Commerce Bancshares, Inc. - Common Stock",USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00542,CCBG,Capital City Bank Group - Common Stock,USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00634,CIVB,"Civista Bancshares, Inc. - Common Stock",USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U00654,CLST,"Catalyst Bancorp, Inc. - common stock",USA,REQUIRES_SEPARATE_FACTOR_CONTRACT
U18639,0HYPl,Citizens Financial Group Inc,US,REQUIRES_SEPARATE_FACTOR_CONTRACT
U18803,0KO5l,Principal Financial Group Inc,US,REQUIRES_SEPARATE_FACTOR_CONTRACT
U18830,0KZAd,Amerant Bancorp Inc,US,REQUIRES_SEPARATE_FACTOR_CONTRACT
U25471,JEFn,Jefferies Financial Group Inc,US,REQUIRES_SEPARATE_FACTOR_CONTRACT
U36868,EBO,ERSTE GROUP BANK AG,AT,REQUIRES_SEPARATE_FACTOR_CONTRACT
U36873,UN9,UNIQA Insurance Group AG,AT,REQUIRES_SEPARATE_FACTOR_CONTRACT
