size,file_name,path,status,rows,size_bytes,missing_required_columns
20,active_real_universe_top_candidates.csv,outputs/scale_tests/size_20/active_real_universe_top_candidates.csv,OK,20,27295,
20,local_score_v0_breakdown.csv,outputs/scale_tests/size_20/local_score_v0_breakdown.csv,OK,20,6770,
20,local_score_v0_candidates.csv,outputs/scale_tests/size_20/local_score_v0_candidates.csv,OK,20,20522,
20,ranking_explainability_candidates.csv,outputs/scale_tests/size_20/ranking_explainability_candidates.csv,OK,20,27295,
20,ranking_explainability_factors.csv,outputs/scale_tests/size_20/ranking_explainability_factors.csv,OK,20,8419,
50,active_real_universe_top_candidates.csv,outputs/scale_tests/size_50/active_real_universe_top_candidates.csv,OK,50,67373,
50,local_score_v0_breakdown.csv,outputs/scale_tests/size_50/local_score_v0_breakdown.csv,OK,50,16890,
50,local_score_v0_candidates.csv,outputs/scale_tests/size_50/local_score_v0_candidates.csv,OK,50,50640,
50,ranking_explainability_candidates.csv,outputs/scale_tests/size_50/ranking_explainability_candidates.csv,OK,50,67373,
50,ranking_explainability_factors.csv,outputs/scale_tests/size_50/ranking_explainability_factors.csv,OK,50,21179,
100,active_real_universe_top_candidates.csv,outputs/scale_tests/size_100/active_real_universe_top_candidates.csv,OK,100,134155,
100,local_score_v0_breakdown.csv,outputs/scale_tests/size_100/local_score_v0_breakdown.csv,OK,100,33780,
100,local_score_v0_candidates.csv,outputs/scale_tests/size_100/local_score_v0_candidates.csv,OK,100,100822,
100,ranking_explainability_candidates.csv,outputs/scale_tests/size_100/ranking_explainability_candidates.csv,OK,100,134155,
100,ranking_explainability_factors.csv,outputs/scale_tests/size_100/ranking_explainability_factors.csv,OK,100,42469,
