dry_run_rank,ticker,company_name,exchange,country,sector,industry,market_cap,source,instrument_type,instrument_scope,classification_confidence,classification_reason,dry_run_status,scoring_performed,openai_called,broker_called,financial_advice
1,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
2,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,USA,,,,nasdaqlisted,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.,SOURCE_ONLY,False,False,False,False
3,AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
4,AAME,Atlantic American Corporation - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
5,AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
6,AAON,"AAON, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
7,AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,LOW,No out-of-scope instrument markers detected; treated as common stock candidate.,SOURCE_ONLY,False,False,False,False
8,AAPL,Apple Inc. - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
9,AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
10,ABAT,American Battery Technology Company - Common Stock,NASDAQ,USA,,,,nasdaqlisted,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,SOURCE_ONLY,False,False,False,False
