column,coverage_percent,present_count,missing_count
revenue_ttm,94.51,172,10
operating_margin,100.0,182,0
fcf_margin,81.87,149,33
net_debt_to_ebitda,89.01,162,20
shares_dilution_3y,0.0,0,182
data_completeness_score,100.0,182,0
financial_data_date,100.0,182,0
special_case,100.0,182,0
revenue_growth_1y,91.76,167,15
gross_margin,100.0,182,0
net_margin,100.0,182,0
ebitda,89.56,163,19
free_cash_flow,86.81,158,24
total_debt,99.45,181,1
cash,98.9,180,2
net_debt,99.45,181,1
debt_to_equity,89.01,162,20
current_ratio,93.96,171,11
interest_coverage,0.0,0,182
pe_ratio,57.14,104,78
forward_pe,100.0,182,0
ev_ebitda,88.46,161,21
price_sales,94.51,172,10
fcf_yield,86.81,158,24
