relative_path,exists,size_bytes,sha256,path
outputs\scouting\phase8a_dashboard_final_design_summary.json,True,1469,829c2b554078590571748052ae5fd08edde129862f3596ad877d51cc98a28d08,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8a_dashboard_final_design_summary.json
outputs\scouting\phase8a_dashboard_final_design_report.md,True,4009,9347e44cd29760cf45dc7af4cbb437c62bd28b932ae2b8db279f37e3cfc8acf4,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8a_dashboard_final_design_report.md
outputs\scouting\phase8a_dashboard_final_design_matrix.csv,True,1292,ab1223b6026138f5bffae11bd8bd3b33f573711dcc615aa3c14cd335ae0b3622,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8a_dashboard_final_design_matrix.csv
outputs\scouting\phase8b_ai_equity_research_memo_blueprint_summary.json,True,1888,7f57137d88e5aee3da01185d5ea8495230c2d281a9c563ca753cb2414f20acc9,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8b_ai_equity_research_memo_blueprint_summary.json
outputs\scouting\phase8b_ai_equity_research_memo_blueprint_report.md,True,4533,7f19c80ee1d19f7da6621bd4cc110145967a93e1b50d5cb64b5b2637ba352d76,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8b_ai_equity_research_memo_blueprint_report.md
outputs\scouting\phase8b_ai_equity_research_memo_modules_matrix.csv,True,1237,b7000eee086019f2448ee68aad52d15e0a1b794cf3be8f9f69cf06a6e1a3b8f6,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8b_ai_equity_research_memo_modules_matrix.csv
outputs\scouting\phase8b_equity_research_memos_table_schema.json,True,3427,bbb38c532a3dc5943616f60248e1f4f56a5dd9cad3503768a40e5b3a3e1a7aaf,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8b_equity_research_memos_table_schema.json
schemas\equity_research_memo_schema_v0_1.json,True,2241,9e99c0d5eeed79f0e8e1bb2c75836f17e808f1502806e20b4adafccd02f33dd7,D:\Proyectos\💰 Scout Finance\schemas\equity_research_memo_schema_v0_1.json
outputs\scouting\phase8c_deterministic_research_modules_summary.json,True,1205,740f557093ef557bd80669007870c0d5ac23b559e685dbfbbc6115cf037bfe55,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8c_deterministic_research_modules_summary.json
outputs\scouting\phase8c_deterministic_research_memos.json,True,2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8c_deterministic_research_memos.json
outputs\scouting\phase8d_candidate_source_binding_summary.json,True,1834,78ade0b553b0300376e91825118f81052f1a20457b8415a72cdaf663a781fcfe,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8d_candidate_source_binding_summary.json
outputs\scouting\phase8d_candidate_source_bound_memos.json,True,50155,fc263c270328cbf2b76c0a0729201fc019725a334525c3b3e93ebf7f17b795be,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8d_candidate_source_bound_memos.json
outputs\scouting\phase8d_bound_top_candidates.csv,True,465,cf6a44c2591479cfe6b5edd1d599bc620218b176160af262d30fefaef0f2d589,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8d_bound_top_candidates.csv
outputs\scouting\phase8e_equity_research_memo_persistence_summary.json,True,1231,f3475249383a14d06ffc3dc08db4d8fb073abc649ca534d548f756ae8dc581d3,D:\Proyectos\💰 Scout Finance\outputs\scouting\phase8e_equity_research_memo_persistence_summary.json
