Symbol,Name,Exchange,Country,Sector,Industry,Market Cap,Last Sale,Volume,Source,instrument_type,instrument_scope,classification_confidence,classification_reason,yf_symbol,quote_type,has_core_market_data,market_data_error,avg_volume_30d,avg_volume_90d
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,USA,Financial Services,Shell Companies,290310752.0,10.49,18169,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,AACB,EQUITY,True,,18169,18169
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,USA,Consumer Defensive,Education & Training Services,47096996.0,1.09,13744,nasdaqlisted|yfinance,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.,AACG,EQUITY,True,,13744,13744
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,USA,Industrials,Airlines,8928699392.0,13.5,67493293,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,AAL,EQUITY,True,,67493293,67493293
AAME,Atlantic American Corporation - Common Stock,NASDAQ,USA,Financial Services,Insurance - Life,34063368.0,1.67,9814,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,AAME,EQUITY,True,,9814,9814
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,USA,Technology,Communication Equipment,14202970112.0,177.0,12310404,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,AAOI,EQUITY,True,,12310404,12310404
AAON,"AAON, Inc. - Common Stock",NASDAQ,USA,Industrials,Building Products & Equipment,10863130624.0,132.62,1049784,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,AAON,EQUITY,True,,1049784,1049784
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,USA,Healthcare,Biotechnology,1605400192.0,17.2,5363,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,LOW,No out-of-scope instrument markers detected; treated as common stock candidate.,AAPG,EQUITY,True,,5363,5363
AAPL,Apple Inc. - Common Stock,NASDAQ,USA,Technology,Consumer Electronics,4514011676672.0,307.34,44645993,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,AAPL,EQUITY,True,,44645993,44645993
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,USA,Healthcare,Biotechnology,80284296.0,3.68,228526,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,AARD,EQUITY,True,,228526,228526
ABAT,American Battery Technology Company - Common Stock,NASDAQ,USA,Industrials,Waste Management,424248832.0,3.11,4566960,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ABAT,EQUITY,True,,4566960,4566960
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,USA,Healthcare,Biotechnology,1716209664.0,5.62,5900442,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ABCL,EQUITY,True,,5900442,5900442
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,USA,Healthcare,Biotechnology,311193504.0,5.46,1228557,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ABEO,EQUITY,True,,1228557,1228557
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,USA,Consumer Cyclical,Specialty Retail,52847216.0,1.07,404217,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ABLV,EQUITY,True,,404217,404217
