scenario,scenario_label,ticker,name,market_cap,price,avg_volume_90d,dollar_volume_90d,balanced_decision,simulated_reasons,weak_reasons
balanced,Equilibrado,AAL,"American Airlines Group, Inc. - Common Stock",8928699392.0,13.5,67493293,911159455.5,PASSED,,
balanced,Equilibrado,AAOI,"Applied Optoelectronics, Inc. - Common Stock",14202970112.0,177.0,12310404,2178941508.0,PASSED,,
balanced,Equilibrado,AAON,"AAON, Inc. - Common Stock",10863130624.0,132.62,1049784,139222354.08,PASSED,,
balanced,Equilibrado,AAPL,Apple Inc. - Common Stock,4514011676672.0,307.34,44645993,13721499488.62,PASSED,,
balanced,Equilibrado,ABCL,AbCellera Biologics Inc. - Common Shares,1716209664.0,5.62,5900442,33160484.04,PASSED,,
balanced,Equilibrado,ABNB,"Airbnb, Inc. - Class A Common Stock",79256641536.0,133.54,3691225,492926186.5,PASSED,,
balanced,Equilibrado,ABSI,Absci Corporation - Common Stock,997792384.0,6.4,4715282,30177804.8,PASSED,,
balanced,Equilibrado,ABUS,Arbutus Biopharma Corporation - Common Stock,839535296.0,4.25,1936204,8228867.0,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,ABVX,Abivax SA - American Depositary Shares,8091386368.0,101.53,1449963,147214743.39000002,PASSED,,
balanced,Equilibrado,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,3691845376.0,21.56,1765846,38071639.76,PASSED,,
balanced,Equilibrado,ACDC,ProFrac Holding Corp. - Class A Common Stock,1253780736.0,6.93,1506595,10440703.35,PASSED,,
balanced,Equilibrado,ACGL,Arch Capital Group Ltd. - Common Stock,31860838400.0,91.19,2203426,200930416.94,PASSED,,
balanced,Equilibrado,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",2251352832.0,24.48,2957084,72389416.32000001,PASSED,,
balanced,Equilibrado,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",526640960.0,5.13,1304866,6693962.58,PASSED,,
balanced,Equilibrado,ACIW,"ACI Worldwide, Inc. - Common Stock",4351115264.0,42.8,747700,32001560.0,PASSED,,
balanced,Equilibrado,ACLS,"Axcelis Technologies, Inc. - Common Stock",4522800128.0,147.16,683120,100527939.2,PASSED,,
balanced,Equilibrado,ACMR,"ACM Research, Inc. - Class A Common Stock",5272363008.0,76.29,1369280,104462371.2,PASSED,,
balanced,Equilibrado,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",608933632.0,4.36,1762419,7684146.840000001,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE
