scenario,scenario_label,ticker,name,market_cap,price,avg_volume_90d,dollar_volume_90d,balanced_decision,simulated_reasons,weak_reasons
balanced,Equilibrado,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,290310752.0,10.49,18169,190592.81,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",
balanced,Equilibrado,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",47096996.0,1.09,13744,14980.96,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AAME,Atlantic American Corporation - Common Stock,34063368.0,1.67,9814,16389.38,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,AAPG,Ascentage Pharma Group International - American Depository Shares,1605400192.0,17.2,5363,92243.6,REJECTED,LOW_DOLLAR_VOLUME,
balanced,Equilibrado,AARD,"Aardvark Therapeutics, Inc. - Common Stock",80284296.0,3.68,228526,840975.68,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,ABLV,Able View Global Inc. - Class B Ordinary Shares,52847216.0,1.07,404217,432512.19,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,ABTC,American Bitcoin Corp. - Class A Common Stock,1549470080.0,0.8631,14437155,12460708.4805,REJECTED,PRICE_BELOW_MINIMUM,
balanced,Equilibrado,ABTS,Abits Group Inc - Ordinary Shares,5893279.0,1.99,2405588,4787120.12,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ABVC,"ABVC BioPharma, Inc. - Common Stock",34580588.0,1.33,103998,138317.34,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,21622344.0,1.55,76634,118782.7,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,ACET,"Adicet Bio, Inc. - Common Stock",67868192.0,7.26,123650,897699.0,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,ACFN,"Acorn Energy, Inc. - Common Stock",39981632.0,15.94,17369,276861.86,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,ACIU,AC Immune SA - Common Stock,228990544.0,2.25,264160,594360.0,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,ACNT,Ascent Industries Co. - Common Stock,122467816.0,13.55,111365,1508995.75,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ACOG,Alpha Cognition Inc. - Common Stock,126725288.0,5.82,48742,283678.44,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,ACON,"Aclarion, Inc. - Common Stock",8790232.0,3.57,99036,353558.52,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,ACRV,"Acrivon Therapeutics, Inc. - Common Stock",61206468.0,1.43,654247,935573.21,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,ACTU,"Actuate Therapeutics, Inc. - Common stock",44980600.0,1.88,143823,270387.24,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",7220199.0,1.68,3101342,5210254.56,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,ADAC,American Drive Acquisition Company - Class A Ordinary Shares,287500000.0,10.0,9198,91980.0,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",
balanced,Equilibrado,ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",219361008.0,3.32,252458,838160.5599999999,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,ADGM,"Adagio Medical Holdings, Inc - Common Stock",16102584.0,0.725,134134,97247.15,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",4737402.0,2.21,125063,276389.23,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,852023232.0,11.36,7007,79599.51999999999,REJECTED,LOW_DOLLAR_VOLUME,
balanced,Equilibrado,ADTX,"Aditxt, Inc. - Common Stock",50668.0,0.0621,3287349,204144.3729,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,ADVB,Advanced Biomed Inc. - Common Stock,6889394.0,4.17,456039,1901682.63,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,ADXN,Addex Therapeutics Ltd - American Depositary Shares,7417846.0,5.86,3795,22238.7,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AEC,Anfield Energy Inc. - Common Shares,76376896.0,4.2,51868,217845.6,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,18515492.0,1.02,9184290,9367975.8,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM",
balanced,Equilibrado,AEI,Alset Inc. - Common Stock,52898332.0,1.36,15161,20618.960000000003,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AEMD,"Aethlon Medical, Inc. - Common Stock",4478732.0,1.91,545396,1041706.36,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AENT,Alliance Entertainment Holding Corporation - common stock,283928704.0,5.57,26877,149704.89,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",
balanced,Equilibrado,AERT,"Aeries Technology, Inc. - Class A Ordinary Share",39284084.0,0.7824,350325,274094.28,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AEYE,"AudioEye, Inc. - Common Stock",83580944.0,6.69,189311,1266490.59,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AFBI,"Affinity Bancshares, Inc. - Common Stock",137141008.0,22.501,18547,417326.047,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AFCG,Advanced Flower Capital Inc. - Common Stock,82115664.0,3.49,279058,973912.42,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",127919816.0,40.4,17639,712615.6,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AFRI,Forafric Global PLC - Ordinary Shares,263706112.0,9.78,12893,126093.54,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",
balanced,Equilibrado,AGEN,Agenus Inc. - Common Stock,134505056.0,3.23,837461,2704999.03,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,2436866.0,1.06,94987,100686.22,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AGPU,Axe Compute Inc. - Common Stock,80427872.0,7.73,3427023,26490887.790000003,REJECTED,MARKET_CAP_BELOW_MINIMUM,
balanced,Equilibrado,AGRZ,Agroz Inc. - Ordinary Shares,5992718.0,0.2765,5828147,1611482.6455,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AHG,Akso Health Group - American Depositary Shares,1147983616.0,1.34,135287,181284.58,REJECTED,"PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,30616750.0,1.03,3556611,3663309.33,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AIDX,"20/20 Biolabs, Inc. - Common Stock",8510445.0,0.802,328409,263384.01800000004,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AIFA,"All In FutureTech Alliance, Inc. - Common Stock",12800360.0,0.3458,12674860,4382966.588,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AIFC,AI Financial Corporation - Common Stock,88894072.0,0.6357,2392722,1521053.3754,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AIFF,"Firefly Neuroscience, Inc.  - Common Stock",24603414.0,1.58,5382325,8504073.5,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,AIFU,AIFU Inc. - Class A Ordinary Share,299840704.0,2.53,10826,27389.78,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,AIHS,Senmiao Technology Limited - Common Stock,5241568.0,1.1501,48544,55830.4544,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AIIO,Robo.ai Inc. - Class B Ordinary Shares,58163572.0,2.94,12177256,35801132.64,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,AIMD,"Ainos, Inc. - Common Stock",14360857.0,1.95,345580,673881.0,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,AIOS,AIOS Tech Inc. - Class A Common Shares,46980000.0,14.5,194468,2819786.0,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AIRE,reAlpha Tech Corp. - Common Stock,11265977.0,2.1,116601,244862.1,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,AIRG,"Airgain, Inc. - Common Stock",86068544.0,6.79,107379,729103.41,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AIRT,"Air T, Inc. - Common Stock",58058092.0,21.482,1514,32523.748,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AISP,"Airship AI Holdings, Inc - Class A Common Stock",95053184.0,2.76,522806,1442944.5599999998,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AIXC,"AIxCrypto Holdings, Inc. - Common Stock",23472590.0,1.16,53730,62326.8,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AIXI,XIAO-I Corporation - American Depositary Shares,8147204.0,8.85,54698509,484081804.65,REJECTED,MARKET_CAP_BELOW_MINIMUM,
balanced,Equilibrado,AKAN,Akanda Corp. - Common Shares,8352953.0,15.63,2311903,36135043.89,REJECTED,MARKET_CAP_BELOW_MINIMUM,
balanced,Equilibrado,AKBA,"Akebia Therapeutics, Inc. - Common Stock",250901936.0,0.9353,3600993,3368008.7529,REJECTED,"PRICE_BELOW_MINIMUM, MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AKTX,Akari Therapeutics Plc - American Depositary Shares,17248940.0,15.07,763951,11512741.57,REJECTED,MARKET_CAP_BELOW_MINIMUM,
balanced,Equilibrado,ALAR,Alarum Technologies Ltd. - American Depositary Shares,65413520.0,8.91,54985,489916.35,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,ALBT,Avalon GloboCare Corp. - Common Stock,4302216.0,0.3571,1063685,379841.9135,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,318693856.0,10.67,13363,142583.21,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",
balanced,Equilibrado,ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",98323344.0,1.63,3095115,5045037.449999999,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,ALGS,"Aligos Therapeutics, Inc. - Common stock",30384174.0,4.91,203571,999533.61,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,ALLR,"Allarity Therapeutics, Inc. - Common stock",25616266.0,1.61,202763,326448.43,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,ALOT,"AstroNova, Inc. - Common Stock",111975416.0,14.49,46739,677248.11,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Class A Ordinary Shares",372186016.0,9.92,3601,35721.92,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",
balanced,Equilibrado,ALP,Alpha Compute Corp  - Common Stock,6354285.0,0.27,19855255,5360918.850000001,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM",
balanced,Equilibrado,ALPS,ALPS Group Inc - Ordinary Share,118144224.0,0.71,30261,21485.31,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,ALTI,"AlTi Global, Inc. - Class A Common Stock",451821152.0,2.98,175061,521681.78,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,ALZN,"Alzamend Neuro, Inc. - Common Stock",4223262.0,1.11,133139,147784.29,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AMBR,Amber International Holding Limited - American Depositary Shares,137641872.0,1.46,57779,84357.34,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AMCI,AMC Robotics Corporation - Common Stock,107577736.0,4.76,69842,332447.92,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,AMIX,"Autonomix Medical, Inc. - Common Stock",4677831.0,0.41,710125,291151.25,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock",11255945.0,0.212,1300749,275758.788,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,AMPG,"Amplitech Group, Inc. - Common Stock",131254976.0,5.18,2162403,11201247.54,REJECTED,MARKET_CAP_BELOW_MINIMUM,
balanced,Equilibrado,AMRN,Amarin Corporation plc - American Depositary Shares,292099680.0,13.93,62707,873508.51,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",
balanced,Equilibrado,AMSS,AMASS Brands Inc. - Common Stock,50381824.0,3.38,1983550,6704399.0,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,AMST,Amesite Inc. - Common Stock,7901530.0,1.35,3272471,4417835.850000001,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ANGH,Anghami Inc. - Ordinary Shares,31726828.0,3.5,4833,16915.5,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,ANIX,"Anixa Biosciences, Inc. - Common Stock",83149088.0,2.48,109342,271168.16,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,ANNA,"AleAnna, Inc. - Class A Common Stock",124457600.0,3.04,4521841,13746396.64,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,ANPA,Rich Sparkle Holdings Limited - Ordinary Shares,88647304.0,5.87,27985,164271.95,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,ANTA,Antalpha Platform Holding Company - Class A Ordinary Shares,170106944.0,7.09,5090,36088.1,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",
balanced,Equilibrado,ANTX,"AN2 Therapeutics, Inc. - Common Stock",137581728.0,3.82,1457498,5567642.359999999,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,ANY,Sphere 3D Corp. - Common Shares,26862452.0,4.04,3257366,13159758.64,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,AOUT,"American Outdoor Brands, Inc. - Common Stock",123564408.0,9.81,40577,398060.37,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,APAC,StoneBridge Acquisition II Corporation - Class A Ordinary Shares,81631232.0,10.14,2268,22997.52,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,APLM,Apollomics Inc. - Class A Ordinary Shares,30744728.0,14.0,7558,105812.0,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,APM,Aptorum Group Limited - Class A Ordinary Shares,8225194.0,1.01,63807,64445.07,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,APRE,"Aprea Therapeutics, Inc. - Common Stock",9180590.0,0.7414,370419,274628.6466,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,APVO,Aptevo Therapeutics Inc. - Common Stock,5881615.0,4.72,56906,268596.32,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,APWC,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share",54839168.0,1.33,5846,7775.18,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",
balanced,Equilibrado,APXT,Apex Treasury Corporation - Class A Ordinary Share,461438400.0,10.04,66855,671224.2,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",
