scenario,scenario_label,ticker,name,market_cap,price,avg_volume_90d,dollar_volume_90d,balanced_decision,simulated_reasons,weak_reasons
balanced,Equilibrado,ABAT,American Battery Technology Company - Common Stock,424248832.0,3.11,4566960,14203245.6,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,ABEO,Abeona Therapeutics Inc. - Common Stock,311193504.0,5.46,1228557,6707921.22,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,
balanced,Equilibrado,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",155289312.0,2.15,536973,1154491.95,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ACB,Aurora Cannabis Inc. - Common Shares,199847936.0,3.38,918669,3105101.22,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,ACIC,American Coastal Insurance Corporation - Common Stock,498210400.0,10.28,217355,2234409.4,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ACNB,ACNB Corporation - Common Stock,560436992.0,54.88,62722,3442183.3600000003,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,ACTG,Acacia Research Corporation - Common Stock,446241792.0,4.62,319533,1476242.46,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,ADUR,Aduro Clean Technologies Inc. - Common Stock,472856832.0,14.02,336734,4721010.68,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ADV,Advantage Solutions Inc.  - Class A Common Stock,515192096.0,38.75,82821,3209313.75,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,AEBI,Aebi Schmidt Holding AG - Common Stock,892095552.0,11.51,344066,3960199.66,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,AFYA,Afya Limited - Class A Common Shares,1320575872.0,14.44,95315,1376348.6,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,343392544.0,15.07,152784,2302454.88,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,488539936.0,9.92,135366,1342830.72,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AIAI,AIAI Holdings Corporation - Class A common stock,824080000.0,11.72,335342,3930208.24,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,AIIR,Air Global PLC - Ordinary shares,1108271488.0,6.91,194957,1347152.87,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,AIRJ,AirJoule Technologies Corporation - Class A Common Stock,351279328.0,4.87,725944,3535347.2800000003,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,AIRO,"AIRO Group Holdings, Inc. - Common Stock",260684384.0,8.29,632009,5239354.609999999,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,
balanced,Equilibrado,AIRS,"AirSculpt Technologies, Inc. - Common Stock",360488448.0,5.11,2794733,14281085.63,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,
balanced,Equilibrado,ALCO,"Alico, Inc. - Common Stock",303846912.0,40.97,27358,1120857.26,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ALEC,"Alector, Inc. - Common Stock",181526176.0,1.635,701312,1146645.12,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ALLO,"Allogene Therapeutics, Inc. - Common Stock",648890560.0,1.88,9779777,18385980.76,WATCHLIST,PRICE_STRONG_WATCHLIST_RANGE,
balanced,Equilibrado,ALLT,Allot Ltd. - Ordinary Shares,361786336.0,7.395,412890,3053321.55,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ALMU,"Aeluma, Inc. - Common Stock",413517536.0,22.59,1597250,36081877.5,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,
balanced,Equilibrado,ALRS,Alerus Financial Corporation - Common Stock,727474304.0,28.95,156214,4522395.3,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,ALT,"Altimmune, Inc. - Common Stock",527024992.0,2.71,3962088,10737258.48,WATCHLIST,PRICE_STRONG_WATCHLIST_RANGE,
balanced,Equilibrado,ALTO,"Alto Ingredients, Inc. - Common Stock",420749216.0,5.43,2306626,12524979.18,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,
balanced,Equilibrado,ALVO,Alvotech - Ordinary Shares,1104650880.0,3.54,506701,1793721.54,WATCHLIST,"DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,ALXO,ALX Oncology Holdings Inc. - Common Stock,207226880.0,1.54,963130,1483220.2,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AMCX,AMC Global Media Inc. - Class A Common Stock,430491584.0,9.8,463455,4541859.0,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AMTX,"Aemetis, Inc - Common Stock",158324576.0,2.25,1819412,4093677.0,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ANGI,Angi Inc. - Class A Common Stock,239452256.0,5.92,1373333,8130131.36,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,
balanced,Equilibrado,ANGO,"AngioDynamics, Inc. - Common Stock",493347840.0,11.94,393009,4692527.46,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ANIK,Anika Therapeutics Inc. - Common Stock,192665424.0,14.48,114407,1656613.36,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ANL,Adlai Nortye Ltd. - American Depositary Shares,640759424.0,9.95,357958,3561682.1,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,APC,ARKO Petroleum Corp. - Class A Common Stock,1626633472.0,19.7,160358,3159052.6,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,API,"Agora, Inc. - ADS",406684448.0,4.81,430707,2071700.67,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,AQST,"Aquestive Therapeutics, Inc. - Common Stock",493018976.0,3.93,1623128,6378893.04,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,ARCL,ARC Group Acquisition I Corp - Class A Ordinary Shares,177357376.0,9.89,112805,1115641.45,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,207488400.0,7.3,462690,3377637.0,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AREC,American Resources Corporation - Class A Common Stock,225709376.0,2.11,2901160,6121447.6,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,AROW,Arrow Financial Corporation - Common Stock,619177024.0,37.46,87287,3269771.02,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,ARQQ,Arqit Quantum Inc. - Ordinary Shares,211265280.0,12.14,423331,5139238.34,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,
balanced,Equilibrado,ARTNA,Artesian Resources Corporation - Class A Non-Voting Common Stock,340293472.0,32.96,70815,2334062.4,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ARTV,"Artiva Biotherapeutics, Inc. - Common Stock",332829152.0,6.85,413606,2833201.1,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ARVN,"Arvinas, Inc. - Common Stock",478747296.0,7.42,889377,6599177.34,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,
balanced,Equilibrado,ASLE,AerSale Corporation - Common Stock,301000512.0,6.37,323726,2062134.62,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ASMB,"Assembly Biosciences, Inc. - Common Stock",453815008.0,22.9,128712,2947504.8,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ASRT,"Assertio Holdings, Inc. - Common Stock",151473504.0,23.44,293739,6885242.16,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,
balanced,Equilibrado,ASYS,"Amtech Systems, Inc. - Common Stock",323280992.0,18.49,266128,4920706.72,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ATLO,Ames National Corporation - Common Stock,264033728.0,29.81,59823,1783323.63,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ATNI,"ATN International, Inc. - Common Stock",396056960.0,25.75,82565,2126048.75,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,ATOM,Atomera Incorporated - Common Stock,319794176.0,8.26,2112385,17448300.099999998,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,
balanced,Equilibrado,AUDC,AudioCodes Ltd. - Ordinary Shares,244609216.0,9.61,109539,1052669.79,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AURA,"Aura Biosciences, Inc. - Common Stock",685452928.0,6.63,476350,3158200.5,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,AUTL,Autolus Therapeutics plc - American Depositary Shares,407199200.0,1.53,1638450,2506828.5,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AVBH,"Avidbank Holdings, Inc. - Common Stock",341472544.0,31.17,86487,2695799.79,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AVIR,"Atea Pharmaceuticals, Inc. - common stock",340115168.0,4.25,433879,1843985.75,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,AVNW,"Aviat Networks, Inc. - Common Stock",233427920.0,18.04,203830,3677093.2,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AVXL,Anavex Life Sciences Corp. - Common Stock,238166416.0,2.57,1378179,3541920.03,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,AZ,A2Z Cust2Mate Solutions Corp. - Common Shares,285896512.0,6.42,468666,3008835.72,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,BATRA,"Atlanta Braves Holdings, Inc. - Series A Common Stock",3457351936.0,53.9,61033,3289678.7,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,BBCP,"Concrete Pumping Holdings, Inc.  - Common Stock",525603392.0,10.43,133033,1387534.19,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,BBOT,"BridgeBio Oncology Therapeutics, Inc. - Common Stock",625636480.0,7.81,346401,2705391.81,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,BCAL,California BanCorp - Common Stock,619494528.0,19.26,190082,3660979.32,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,BCAR,D. Boral ARC Acquisition I Corp. - Class A Ordinary Shares,431574848.0,10.64,514041,5469396.24,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,
balanced,Equilibrado,BCBP,"BCB Bancorp, Inc. (NJ) - Common Stock",195161872.0,11.24,100126,1125416.24,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,BCML,BayCom Corp - Common Stock,346588992.0,31.77,43941,1396005.57,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,BCYC,Bicycle Therapeutics plc - American Depositary Shares,293207136.0,4.2,434346,1824253.2,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,BDSX,"Biodesix, Inc. - Common Stock",160100800.0,15.46,80233,1240402.1800000002,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,BETR,Better Home & Finance Holding Company - Class A Common Stock,483444896.0,25.62,549339,14074065.18,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,
balanced,Equilibrado,BLZE,"Backblaze, Inc. - Common Stock",465714336.0,7.76,1649963,12803712.88,WATCHLIST,MARKET_CAP_WATCHLIST_RANGE,
balanced,Equilibrado,BMBL,Bumble Inc. - common stock,430770112.0,2.84,4163617,11824672.28,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE",
balanced,Equilibrado,BMRC,Bank of Marin Bancorp - Common Stock,420932384.0,26.0,101531,2639806.0,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,BNTC,Benitec Biopharma Inc. - Common Stock,362438240.0,10.55,127515,1345283.25,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,BRAI,Braiin Limited - Common Stock,1498261376.0,7.27,227977,1657392.7899999998,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,BRR,"ProCap Financial, Inc. - Common Stock",156692192.0,1.73,1157601,2002649.73,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,BSRR,Sierra Bancorp - Common Stock,511199904.0,39.085,52536,2053369.56,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,BTBT,"Bit Digital, Inc. - Ordinary Share",572672320.0,1.64,21744519,35661011.16,WATCHLIST,PRICE_STRONG_WATCHLIST_RANGE,
balanced,Equilibrado,BVS,Bioventus Inc. - Class A Common Stock,612442368.0,9.04,552487,4994482.48,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,BWAY,BrainsWay Ltd. - American Depositary Shares,556884096.0,13.89,165777,2302642.5300000003,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,BWB,"Bridgewater Bancshares, Inc. - Common Stock",536754848.0,19.25,69017,1328577.25,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,BWFG,"Bankwell Financial Group, Inc. - Common Stock",427920544.0,53.67,41911,2249363.37,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",
balanced,Equilibrado,BWMN,Bowman Consulting Group Ltd. - Common Stock,567950848.0,32.44,153495,4979377.8,WATCHLIST,DOLLAR_VOLUME_WATCHLIST_RANGE,
balanced,Equilibrado,BZAI,"Blaize Holdings, Inc. - Common Stock",236217088.0,1.66,10141441,16834792.06,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE",
