ticker,real_decision,simulated_decision,simulated_reasons,_merge,alignment_status
AACB,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",both,MATCH
AACG,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
AAL,PASSED,PASSED,,both,MATCH
AAME,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
AAOI,PASSED,PASSED,,both,MATCH
AAON,PASSED,PASSED,,both,MATCH
AAPG,REJECTED,REJECTED,LOW_DOLLAR_VOLUME,both,MATCH
AAPL,PASSED,PASSED,,both,MATCH
AARD,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ABAT,PASSED,PASSED,PRICE_WATCHLIST_RANGE,both,MATCH
ABCL,PASSED,PASSED,,both,MATCH
ABEO,PASSED,PASSED,,both,MATCH
ABLV,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ABNB,PASSED,PASSED,,both,MATCH
ABOS,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ABSI,PASSED,PASSED,,both,MATCH
ABTC,REJECTED,REJECTED,PRICE_BELOW_MINIMUM,both,MATCH
ABTS,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WATCHLIST_RANGE",both,MATCH
ABUS,PASSED,PASSED,PRICE_WATCHLIST_RANGE,both,MATCH
ABVC,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ABVX,PASSED,PASSED,,both,MATCH
ACAD,PASSED,PASSED,,both,MATCH
ACB,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ACCL,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ACDC,PASSED,PASSED,,both,MATCH
ACET,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",both,MATCH
ACFN,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
ACGL,PASSED,PASSED,,both,MATCH
ACHC,PASSED,PASSED,,both,MATCH
ACHV,PASSED,PASSED,,both,MATCH
ACIC,PASSED,PASSED,,both,MATCH
ACIU,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ACIW,PASSED,PASSED,,both,MATCH
ACLS,PASSED,PASSED,,both,MATCH
ACMR,PASSED,PASSED,,both,MATCH
ACNB,PASSED,PASSED,,both,MATCH
ACNT,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",both,MATCH
ACOG,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",both,MATCH
ACON,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ACRS,PASSED,PASSED,PRICE_WATCHLIST_RANGE,both,MATCH
ACRV,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ACT,PASSED,PASSED,,both,MATCH
ACTG,WATCHLIST,WATCHLIST,"DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ACTU,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ACXP,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WATCHLIST_RANGE",both,MATCH
ADAC,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",both,MATCH
ADAG,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ADAM,PASSED,PASSED,,both,MATCH
ADBE,PASSED,PASSED,,both,MATCH
ADEA,PASSED,PASSED,,both,MATCH
ADGM,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
ADI,PASSED,PASSED,,both,MATCH
ADIL,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
ADMA,PASSED,PASSED,,both,MATCH
ADP,PASSED,PASSED,,both,MATCH
ADPT,PASSED,PASSED,,both,MATCH
ADSE,REJECTED,REJECTED,LOW_DOLLAR_VOLUME,both,MATCH
ADSK,PASSED,PASSED,,both,MATCH
ADTN,PASSED,PASSED,,both,MATCH
ADTX,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
ADUR,PASSED,PASSED,,both,MATCH
ADUS,PASSED,PASSED,,both,MATCH
ADV,PASSED,PASSED,,both,MATCH
ADVB,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
ADXN,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
AEBI,PASSED,PASSED,,both,MATCH
AEC,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
AEHL,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_WATCHLIST_RANGE",both,MATCH
AEHR,PASSED,PASSED,,both,MATCH
AEI,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WATCHLIST_RANGE",both,MATCH
AEIS,PASSED,PASSED,,both,MATCH
AEMD,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WATCHLIST_RANGE",both,MATCH
AENT,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",both,MATCH
AEP,PASSED,PASSED,,both,MATCH
AERT,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",both,MATCH
AEVA,PASSED,PASSED,,both,MATCH
AEYE,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",both,MATCH
