ticker,real_decision,simulated_decision,simulated_reasons,market_cap,price,dollar_volume_90d,_merge,alignment_status
AACB,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",290310752.0,10.49,190592.81,both,MATCH
AACG,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",47096996.0,1.09,14980.960000000001,both,MATCH
AAL,PASSED,PASSED,,8928699392.0,13.5,911159455.5,both,MATCH
AAME,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",34063368.0,1.67,16389.38,both,MATCH
AAOI,PASSED,PASSED,,14202970112.0,177.0,2178941508.0,both,MATCH
AAON,PASSED,PASSED,,10863130624.0,132.62,139222354.08,both,MATCH
AAPG,REJECTED,REJECTED,LOW_DOLLAR_VOLUME,1605400192.0,17.2,92243.59999999999,both,MATCH
AAPL,PASSED,PASSED,,4514011676672.0,307.34,13721499488.619999,both,MATCH
AARD,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",80284296.0,3.68,840975.68,both,MATCH
ABAT,PASSED,PASSED,PRICE_WEAK_WATCHLIST_RANGE,424248832.0,3.11,14203245.6,both,MATCH
ABCL,PASSED,PASSED,,1716209664.0,5.62,33160484.04,both,MATCH
ABEO,PASSED,PASSED,,311193504.0,5.46,6707921.22,both,MATCH
ABLV,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",52847216.0,1.07,432512.19,both,MATCH
ABNB,PASSED,PASSED,,79256641536.0,133.54,492926186.5,both,MATCH
ABOS,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",155289312.0,2.15,1154491.95,both,MATCH
ABSI,PASSED,PASSED,,997792384.0,6.4,30177804.8,both,MATCH
ABTC,REJECTED,REJECTED,PRICE_BELOW_MINIMUM,1549470080.0,0.8631,12460708.4805,both,MATCH
ABTS,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE",5893279.0,1.99,4787120.12,both,MATCH
ABUS,PASSED,PASSED,PRICE_WEAK_WATCHLIST_RANGE,839535296.0,4.25,8228867.0,both,MATCH
ABVC,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",34580588.0,1.33,138317.34,both,MATCH
ABVX,PASSED,PASSED,,8091386368.0,101.53,147214743.39000002,both,MATCH
ACAD,PASSED,PASSED,,3691845376.0,21.56,38071639.76,both,MATCH
ACB,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",199847936.0,3.38,3105101.2199999997,both,MATCH
ACCL,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",21622344.0,1.55,118782.7,both,MATCH
ACDC,PASSED,PASSED,,1253780736.0,6.93,10440703.35,both,MATCH
ACET,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, DOLLAR_VOLUME_WATCHLIST_RANGE",67868192.0,7.26,897699.0,both,MATCH
ACFN,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",39981632.0,15.94,276861.86,both,MATCH
ACGL,PASSED,PASSED,,31860838400.0,91.19,200930416.94,both,MATCH
ACHC,PASSED,PASSED,,2251352832.0,24.48,72389416.32000001,both,MATCH
ACHV,PASSED,PASSED,,526640960.0,5.13,6693962.58,both,MATCH
ACIC,PASSED,PASSED,,498210400.0,10.28,2234409.4,both,MATCH
ACIU,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",228990544.0,2.25,594360.0,both,MATCH
ACIW,PASSED,PASSED,,4351115264.0,42.8,32001559.999999996,both,MATCH
ACLS,PASSED,PASSED,,4522800128.0,147.16,100527939.2,both,MATCH
ACMR,PASSED,PASSED,,5272363008.0,76.29,104462371.2,both,MATCH
ACNB,PASSED,PASSED,,560436992.0,54.88,3442183.3600000003,both,MATCH
ACNT,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",122467816.0,13.55,1508995.75,both,MATCH
ACOG,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",126725288.0,5.82,283678.44,both,MATCH
ACON,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_WEAK_WATCHLIST_RANGE",8790232.0,3.57,353558.51999999996,both,MATCH
ACRS,PASSED,PASSED,PRICE_WEAK_WATCHLIST_RANGE,608933632.0,4.36,7684146.840000001,both,MATCH
ACRV,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE",61206468.0,1.43,935573.21,both,MATCH
ACT,PASSED,PASSED,,5833915392.0,41.79,13119970.5,both,MATCH
ACTG,WATCHLIST,WATCHLIST,"DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",446241792.0,4.62,1476242.46,both,MATCH
ACTU,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",44980600.0,1.88,270387.24,both,MATCH
ACXP,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_STRONG_WATCHLIST_RANGE",7220199.0,1.68,5210254.56,both,MATCH
ADAC,REJECTED,REJECTED,"LOW_DOLLAR_VOLUME, MARKET_CAP_WATCHLIST_RANGE",287500000.0,10.0,91980.0,both,MATCH
ADAG,WATCHLIST,WATCHLIST,"MARKET_CAP_WATCHLIST_RANGE, DOLLAR_VOLUME_WATCHLIST_RANGE, PRICE_WEAK_WATCHLIST_RANGE",219361008.0,3.32,838160.5599999999,both,MATCH
ADAM,PASSED,PASSED,,806952704.0,8.98,6883277.760000001,both,MATCH
ADBE,PASSED,PASSED,,101632049152.0,251.44,1400797384.0,both,MATCH
ADEA,PASSED,PASSED,,3196312832.0,28.98,49188478.5,both,MATCH
ADGM,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, PRICE_BELOW_MINIMUM, LOW_DOLLAR_VOLUME",16102584.0,0.725,97247.15,both,MATCH
ADI,PASSED,PASSED,,195511877632.0,401.39,1580309759.27,both,MATCH
ADIL,REJECTED,REJECTED,"MARKET_CAP_BELOW_MINIMUM, LOW_DOLLAR_VOLUME, PRICE_STRONG_WATCHLIST_RANGE",4737402.0,2.21,276389.23,both,MATCH
