bucket_type,market_cap_bucket,stage1_decision,count,price_bucket,dollar_volume_bucket
market_cap_bucket,100M-300M,REJECTED,24,,
market_cap_bucket,100M-300M,WATCHLIST,44,,
market_cap_bucket,10B-50B,PASSED,26,,
market_cap_bucket,1B-10B,PASSED,110,,
market_cap_bucket,1B-10B,REJECTED,4,,
market_cap_bucket,1B-10B,WATCHLIST,4,,
market_cap_bucket,300M-1B,PASSED,72,,
market_cap_bucket,300M-1B,REJECTED,7,,
market_cap_bucket,300M-1B,WATCHLIST,18,,
market_cap_bucket,<100M,REJECTED,171,,
market_cap_bucket,>50B,PASSED,18,,
market_cap_bucket,missing,REJECTED,2,,
price_bucket,,REJECTED,60,1-2,
price_bucket,,WATCHLIST,9,1-2,
price_bucket,,PASSED,13,2-5,
price_bucket,,REJECTED,52,2-5,
price_bucket,,WATCHLIST,22,2-5,
price_bucket,,PASSED,95,20-100,
price_bucket,,REJECTED,9,20-100,
price_bucket,,WATCHLIST,7,20-100,
price_bucket,,PASSED,75,5-20,
price_bucket,,REJECTED,48,5-20,
price_bucket,,WATCHLIST,28,5-20,
price_bucket,,REJECTED,39,<1,
price_bucket,,PASSED,43,>100,
dollar_volume_bucket,,PASSED,33,,1M-5M
dollar_volume_bucket,,REJECTED,28,,1M-5M
dollar_volume_bucket,,WATCHLIST,39,,1M-5M
dollar_volume_bucket,,PASSED,74,,20M-100M
dollar_volume_bucket,,REJECTED,8,,20M-100M
dollar_volume_bucket,,WATCHLIST,1,,20M-100M
dollar_volume_bucket,,REJECTED,19,,500K-1M
dollar_volume_bucket,,WATCHLIST,13,,500K-1M
dollar_volume_bucket,,PASSED,65,,5M-20M
dollar_volume_bucket,,REJECTED,19,,5M-20M
dollar_volume_bucket,,WATCHLIST,13,,5M-20M
dollar_volume_bucket,,REJECTED,132,,<500K
dollar_volume_bucket,,PASSED,54,,>100M
dollar_volume_bucket,,REJECTED,2,,>100M
