ticker,name,exchange,country,region,currency,sector,industry,asset_type,is_active,market_cap,price,avg_volume_30d,avg_volume_90d,data_source,last_updated,isin,figi,cusip,ipo_date,shares_outstanding,free_float,primary_listing,adr_flag,otc_flag,etf_flag,fund_flag,preferred_flag,warrant_flag,spac_flag,duplicate_group,dollar_volume_90d,universe_validation_status,universe_validation_date,stage1_status,stage1_primary_reason,stage1_all_reasons
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,USA,North America,USD,Industrials,Airlines,common_stock,True,8928699392.0,13.5,67493293.0,67493293.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,911159455.5,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,USA,North America,USD,Technology,Communication Equipment,common_stock,True,14202970112.0,177.0,12310404.0,12310404.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,2178941508.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AAON,"AAON, Inc. - Common Stock",NASDAQ,USA,North America,USD,Industrials,Building Products & Equipment,common_stock,True,10863130624.0,132.62,1049784.0,1049784.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,139222354.08,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
AAPL,Apple Inc. - Common Stock,NASDAQ,USA,North America,USD,Technology,Consumer Electronics,common_stock,True,4514011676672.0,307.34,44645993.0,44645993.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,13721499488.62,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ABAT,American Battery Technology Company - Common Stock,NASDAQ,USA,North America,USD,Industrials,Waste Management,common_stock,True,424248832.0,3.11,4566960.0,4566960.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,14203245.6,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,1716209664.0,5.62,5900442.0,5900442.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,33160484.04,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,311193504.0,5.46,1228557.0,1228557.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,6707921.22,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,USA,North America,USD,Consumer Cyclical,Travel Services,common_stock,True,79256641536.0,133.54,3691225.0,3691225.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,492926186.5,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ABSI,Absci Corporation - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,997792384.0,6.4,4715282.0,4715282.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,30177804.8,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,USA,North America,USD,Healthcare,Biotechnology,common_stock,True,839535296.0,4.25,1936204.0,1936204.0,yfinance_clean_market_data_500,2026-06-08,,,,,,,,,,,,,,,,8228867.0,VALIDATED_STAGE0,2026-06-08T08:39:46+00:00,PASSED,,
