ticker,name,real_decision,simulated_decision,simulated_reasons,real_rejection_log_reasons,market_cap_real,price_real,avg_volume_90d_real,dollar_volume_90d_real,market_cap_sim,price_sim,avg_volume_90d_sim,dollar_volume_90d_sim,_merge
ABAT,American Battery Technology Company - Common Stock,PASSED,WATCHLIST,PRICE_WATCHLIST_RANGE,,424248832.0,3.11,4566960.0,14203245.6,424248832.0,3.11,4566960,14203245.6,both
ABUS,Arbutus Biopharma Corporation - Common Stock,PASSED,WATCHLIST,PRICE_WATCHLIST_RANGE,,839535296.0,4.25,1936204.0,8228867.0,839535296.0,4.25,1936204,8228867.0,both
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",PASSED,WATCHLIST,PRICE_WATCHLIST_RANGE,,608933632.0,4.36,1762419.0,7684146.840000001,608933632.0,4.36,1762419,7684146.840000001,both
AGNT,"eXp World Holdings, Inc. - Common Stock",PASSED,WATCHLIST,PRICE_WATCHLIST_RANGE,,780538624.0,4.75,1158055.0,5500761.25,780538624.0,4.75,1158055,5500761.25,both
AIOT,"PowerFleet, Inc. - Common Stock",PASSED,WATCHLIST,PRICE_WATCHLIST_RANGE,,515125536.0,3.84,1597003.0,6132491.52,515125536.0,3.84,1597003,6132491.52,both
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,PASSED,WATCHLIST,PRICE_WATCHLIST_RANGE,,351279328.0,4.87,725944.0,3535347.2800000003,351279328.0,4.87,725944,3535347.2800000003,both
API,"Agora, Inc. - ADS",PASSED,WATCHLIST,PRICE_WATCHLIST_RANGE,,406684448.0,4.81,430707.0,2071700.67,406684448.0,4.81,430707,2071700.67,both
AQST,"Aquestive Therapeutics, Inc. - Common Stock",PASSED,WATCHLIST,PRICE_WATCHLIST_RANGE,,493018976.0,3.93,1623128.0,6378893.04,493018976.0,3.93,1623128,6378893.04,both
ASTL,Algoma Steel Group Inc. - Common Shares,PASSED,WATCHLIST,PRICE_WATCHLIST_RANGE,,522727552.0,4.96,1452047.0,7202153.12,522727552.0,4.96,1452047,7202153.12,both
ATAI,AtaiBeckley Inc. - Common Stock,PASSED,WATCHLIST,PRICE_WATCHLIST_RANGE,,1454258432.0,3.95,5782071.0,22839180.45,1454258432.0,3.95,5782071,22839180.45,both
BLDP,"Ballard Power Systems, Inc. - Common Shares",PASSED,WATCHLIST,PRICE_WATCHLIST_RANGE,,1483261184.0,4.92,7285584.0,35845073.28,1483261184.0,4.92,7285584,35845073.28,both
BTQ,BTQ Technologies Corp. - Common Stock,PASSED,WATCHLIST,PRICE_WATCHLIST_RANGE,,575339008.0,4.07,2568596.0,10454185.72,575339008.0,4.07,2568596,10454185.72,both
CABA,"Cabaletta Bio, Inc. - Common Stock",PASSED,WATCHLIST,PRICE_WATCHLIST_RANGE,,529928096.0,3.25,3084863.0,10025804.75,529928096.0,3.25,3084863,10025804.75,both
