ticker,company_name,sector,industry,country,market_cap,score,category,source
AUPH,Aurinia Pharmaceuticals Inc - Common Shares,Healthcare,Biotechnology,USA,2037050496.0,70.83,🟢 Candidata fuerte para scouting,stage3_opportunity_scoring
BZ,KANZHUN LIMITED - American Depository Shares,Communication Services,Internet Content & Information,USA,6322262016.0,68.5,🟡 Interesante con condiciones,stage3_opportunity_scoring
ADBE,Adobe Inc. - Common Stock,Technology,Software - Application,USA,101632049152.0,65.97,🟡 Interesante con condiciones,stage3_opportunity_scoring
ADEA,Adeia Inc.  - Common Stock,Technology,Software - Application,USA,3196312832.0,64.8,🟡 Interesante con condiciones,stage3_opportunity_scoring
AUGO,Aura Minerals Inc. - Common Shares,Basic Materials,Gold,USA,5043400192.0,60.12,🟡 Interesante con condiciones,stage3_opportunity_scoring
ATAT,Atour Lifestyle Holdings Limited - American Depositary Shares,Consumer Cyclical,Lodging,USA,4618174464.0,60.12,🟡 Interesante con condiciones,stage3_opportunity_scoring
APP,Applovin Corporation - Class A Common Stock,Communication Services,Advertising Agencies,USA,187185512448.0,59.34,🟡 Interesante con condiciones,stage3_opportunity_scoring
BKNG,Booking Holdings Inc. - Common Stock,Consumer Cyclical,Travel Services,USA,128505839616.0,59.04,🟡 Interesante con condiciones,stage3_opportunity_scoring
AVGO,Broadcom Inc. - Common Stock,Technology,Semiconductors,USA,1826303639552.0,58.52,🟡 Interesante con condiciones,stage3_opportunity_scoring
ADSK,"Autodesk, Inc. - Common Stock",Technology,Software - Application,USA,48554962944.0,58.48,🟡 Interesante con condiciones,stage3_opportunity_scoring
APA,APA Corporation - Common Stock,Energy,Oil & Gas E&P,USA,12926406656.0,57.89,🟡 Interesante con condiciones,stage3_opportunity_scoring
AYA,Aya Gold & Silver Inc. - Common Shares,Basic Materials,Silver,USA,2457014528.0,57.68,🟡 Interesante con condiciones,stage3_opportunity_scoring
ADI,"Analog Devices, Inc. - Common Stock",Technology,Semiconductors,USA,195511877632.0,56.87,🟡 Interesante con condiciones,stage3_opportunity_scoring
BIIB,Biogen Inc. - Common Stock,Healthcare,Drug Manufacturers - General,USA,28839434240.0,55.88,🟡 Interesante con condiciones,stage3_opportunity_scoring
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1844004864.0,54.3,🟡 Interesante con condiciones,stage3_opportunity_scoring
AMGN,Amgen Inc. - Common Stock,Healthcare,Drug Manufacturers - General,USA,188671213568.0,53.72,🟡 Interesante con condiciones,stage3_opportunity_scoring
ACGL,Arch Capital Group Ltd. - Common Stock,Financial Services,Insurance - Diversified,USA,31860838400.0,53.52,🟡 Interesante con condiciones,stage3_opportunity_scoring
ALAB,"Astera Labs, Inc. - Common Stock",Technology,Semiconductors,USA,54346600448.0,53.25,🟡 Interesante con condiciones,stage3_opportunity_scoring
ADP,"Automatic Data Processing, Inc. - Common Stock",Technology,Software - Application,USA,92718366720.0,52.18,🟡 Interesante con condiciones,stage3_opportunity_scoring
BSY,"Bentley Systems, Incorporated - Class B Common Stock",Technology,Software - Application,USA,10004024320.0,52.12,🟡 Interesante con condiciones,stage3_opportunity_scoring
AVPT,"AvePoint, Inc. - Class A Common Stock",Technology,Software - Infrastructure,USA,2277064704.0,51.07,🟡 Interesante con condiciones,stage3_opportunity_scoring
APPF,"AppFolio, Inc. - Class A Common Stock",Technology,Software - Application,USA,5902753280.0,50.72,🟡 Interesante con condiciones,stage3_opportunity_scoring
ARM,Arm Holdings plc - American Depositary Shares,Technology,Semiconductors,USA,366276247552.0,50.47,🟡 Interesante con condiciones,stage3_opportunity_scoring
AAPL,Apple Inc. - Common Stock,Technology,Consumer Electronics,USA,4514011676672.0,50.29,🟡 Interesante con condiciones,stage3_opportunity_scoring
ABNB,"Airbnb, Inc. - Class A Common Stock",Consumer Cyclical,Travel Services,USA,79256641536.0,50.22,🟡 Interesante con condiciones,stage3_opportunity_scoring
APEI,"American Public Education, Inc. - Common Stock",Consumer Defensive,Education & Training Services,USA,965784640.0,49.82,🟡 Interesante con condiciones,stage3_opportunity_scoring
ASML,ASML Holding N.V. - New York Registry Shares,Technology,Semiconductor Equipment & Materials,USA,632755585024.0,49.53,🟡 Interesante con condiciones,stage3_opportunity_scoring
ASND,Ascendis Pharma A/S - Ordinary Share,Healthcare,Biotechnology,USA,13001548800.0,49.3,🟡 Interesante con condiciones,stage3_opportunity_scoring
ALRM,"Alarm.com Holdings, Inc. - Common Stock",Technology,Software - Application,USA,2244026624.0,48.82,🟡 Interesante con condiciones,stage3_opportunity_scoring
ALGN,"Align Technology, Inc. - Common Stock",Healthcare,Medical Instruments & Supplies,USA,12013224960.0,48.36,🟡 Interesante con condiciones,stage3_opportunity_scoring
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",Healthcare,Biotechnology,USA,40460984320.0,47.87,🟡 Interesante con condiciones,stage3_opportunity_scoring
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",Healthcare,Drug Manufacturers - Specialty & Generic,USA,870394240.0,46.75,🟡 Interesante con condiciones,stage3_opportunity_scoring
AMAT,"Applied Materials, Inc. - Common Stock",Technology,Semiconductor Equipment & Materials,USA,359671562240.0,46.51,🟡 Interesante con condiciones,stage3_opportunity_scoring
ACIW,"ACI Worldwide, Inc. - Common Stock",Technology,Software - Infrastructure,USA,4351115264.0,45.54,🟡 Interesante con condiciones,stage3_opportunity_scoring
